Observação;Data;Mês;Ano - Safra;Preços - Milho;Preços - Soja;
326;23/04/2015;4;2015; R$ 26,93 ; R$ 62,82 ;
327;24/04/2015;4;2015; R$ 26,73 ; R$ 62,27 ;
328;27/04/2015;4;2015; R$ 26,56 ; R$ 60,94 ;
329;28/04/2015;4;2015; R$ 26,36 ; R$ 60,51 ;
330;29/04/2015;4;2015; R$ 26,20 ; R$ 61,23 ;
331;30/04/2015;4;2015; R$ 25,98 ; R$ 61,75 ;
332;04/05/2015;5;2015; R$ 25,91 ; R$ 62,92 ;
333;05/05/2015;5;2015; R$ 25,82 ; R$ 63,70 ;
334;06/05/2015;5;2015; R$ 25,79 ; R$ 63,56 ;
335;07/05/2015;5;2015; R$ 25,64 ; R$ 63,28 ;
336;08/05/2015;5;2015; R$ 25,63 ; R$ 62,29 ;
337;11/05/2015;5;2015; R$ 25,62 ; R$ 62,80 ;
338;12/05/2015;5;2015; R$ 25,62 ; R$ 62,83 ;
339;13/05/2015;5;2015; R$ 25,42 ; R$ 61,63 ;
340;14/05/2015;5;2015; R$ 25,39 ; R$ 61,17 ;
341;15/05/2015;5;2015; R$ 25,28 ; R$ 60,92 ;
342;18/05/2015;5;2015; R$ 25,26 ; R$ 61,57 ;
343;19/05/2015;5;2015; R$ 24,99 ; R$ 61,62 ;
344;20/05/2015;5;2015; R$ 24,97 ; R$ 61,02 ;
345;21/05/2015;5;2015; R$ 25,13 ; R$ 60,90 ;
346;22/05/2015;5;2015; R$ 25,11 ; R$ 61,22 ;
347;25/05/2015;5;2015; R$ 25,07 ; R$ 61,26 ;
348;26/05/2015;5;2015; R$ 25,28 ; R$ 61,66 ;
349;27/05/2015;5;2015; R$ 24,96 ; R$ 62,29 ;
350;28/05/2015;5;2015; R$ 24,94 ; R$ 62,32 ;
351;29/05/2015;5;2015; R$ 24,91 ; R$ 62,96 ;
352;01/06/2015;6;2015; R$ 25,00 ; R$ 62,46 ;
353;02/06/2015;6;2015; R$ 24,79 ; R$ 62,56 ;
354;03/06/2015;6;2015; R$ 24,82 ; R$ 62,40 ;
355;05/06/2015;6;2015; R$ 24,85 ; R$ 63,42 ;
356;08/06/2015;6;2015; R$ 24,85 ; R$ 62,27 ;
357;09/06/2015;6;2015; R$ 24,65 ; R$ 62,38 ;
358;10/06/2015;6;2015; R$ 24,81 ; R$ 62,28 ;
359;11/06/2015;6;2015; R$ 24,89 ; R$ 62,52 ;
360;12/06/2015;6;2015; R$ 24,79 ; R$ 61,91 ;
361;15/06/2015;6;2015; R$ 24,91 ; R$ 61,55 ;
362;16/06/2015;6;2015; R$ 25,16 ; R$ 62,21 ;
363;17/06/2015;6;2015; R$ 25,19 ; R$ 62,80 ;
364;18/06/2015;6;2015; R$ 25,09 ; R$ 62,66 ;
365;19/06/2015;6;2015; R$ 25,00 ; R$ 62,87 ;
366;22/06/2015;6;2015; R$ 25,03 ; R$ 63,35 ;
367;23/06/2015;6;2015; R$ 25,16 ; R$ 63,51 ;
368;24/06/2015;6;2015; R$ 25,10 ; R$ 63,50 ;
369;25/06/2015;6;2015; R$ 25,26 ; R$ 64,65 ;
370;26/06/2015;6;2015; R$ 25,51 ; R$ 64,37 ;
371;29/06/2015;6;2015; R$ 25,29 ; R$ 64,19 ;
372;30/06/2015;6;2015; R$ 25,48 ; R$ 64,48 ;
373;01/07/2015;7;2015; R$ 25,46 ; R$ 65,54 ;
374;02/07/2015;7;2015; R$ 25,42 ; R$ 65,86 ;
375;03/07/2015;7;2015; R$ 25,51 ; R$ 65,44 ;
376;06/07/2015;7;2015; R$ 25,35 ; R$ 66,10 ;
377;07/07/2015;7;2015; R$ 25,54 ; R$ 65,88 ;
378;08/07/2015;7;2015; R$ 25,76 ; R$ 66,62 ;
379;09/07/2015;7;2015; R$ 25,84 ; R$ 67,98 ;
380;10/07/2015;7;2015; R$ 26,04 ; R$ 67,60 ;
381;13/07/2015;7;2015; R$ 25,61 ; R$ 67,40 ;
382;14/07/2015;7;2015; R$ 26,51 ; R$ 67,26 ;
383;15/07/2015;7;2015; R$ 26,57 ; R$ 67,37 ;
384;16/07/2015;7;2015; R$ 26,35 ; R$ 67,57 ;
385;17/07/2015;7;2015; R$ 26,53 ; R$ 68,02 ;
386;20/07/2015;7;2015; R$ 26,46 ; R$ 68,01 ;
387;21/07/2015;7;2015; R$ 26,78 ; R$ 67,96 ;
388;22/07/2015;7;2015; R$ 26,26 ; R$ 68,51 ;
389;23/07/2015;7;2015; R$ 26,16 ; R$ 69,59 ;
390;24/07/2015;7;2015; R$ 26,23 ; R$ 69,86 ;
391;27/07/2015;7;2015; R$ 25,92 ; R$ 69,03 ;
392;28/07/2015;7;2015; R$ 25,80 ; R$ 69,14 ;
393;29/07/2015;7;2015; R$ 25,95 ; R$ 69,26 ;
394;30/07/2015;7;2015; R$ 25,87 ; R$ 70,13 ;
395;31/07/2015;7;2015; R$ 25,93 ; R$ 70,08 ;
396;03/08/2015;8;2015; R$ 26,16 ; R$ 70,82 ;
